"course","course_status","chapter","lesson","lesson_type","lesson_status","system_exercise_count","system_exercises","pdf_count","pdf_files","context_present","context_characters","content_pages","other_files","has_any_content","lesson_id"
"כיתה יא - 4 יח""ל - 471","מפורסם","שאלון בגרות","10 דרכים, איך לרמות בעזרת המחשבון בבחינות","לימוד","מפורסם","0","","0","","no","0","10 דרכים לרמות בעזרת המחשבון - בבחינות","","yes","69ae60d95c712c6396a6a3ed"
"11th Grade - 4 Units - 471","מפורסם","Matriculation exam","10 ways to cheat with a calculator in exams","לימוד","מפורסם","0","","0","","no","0","","","no","69c4f0c1f7d0432e422464cf"
"11th Grade - 4 Units - 471","מפורסם","Matriculation exam","10 ways to cheat with a calculator on exams","לימוד","מפורסם","0","","0","","no","0","","","no","69c4f388223faeee54f8661e"
"כיתה יב - 5 יח""ל - 572","מפורסם","בגרות","2026 - קיץ","בחינה","מפורסם","0","","1","processed_Math - 5units - 572 - 2026 - winter-5tGQP3Hap9ZlBkXJeRF3ei0qRVSets.pdf","no","0","","","yes","69cba777e6cafe2088822d3f"
"כיתה יב - 4 יח""ל - 472","מפורסם","בגרויות","2026 - קיץ","בחינה","מפורסם","0","","0","","no","0","","","no","69f58986c9a5ed5e7ed81b9b"
"כיתה ט - בסיס","מפורסם","כיתה ט - בסיס - אלגברה","אחוזים","לימוד","מפורסם","14","אחוזים; אחוזים; אחוזים; אחוזים; אחוזים; אחוזים; אחוזים; אחוזים; אחוזים; אחוזים; אחוזים; אחוזים; אחוזים; אחוזים","0","","no","0","","","yes","698858780729e912e4ce98b2"
"כיתה י - 3 יח""ל - 172","מפורסם","אלגברה","אחוזים","תרגול","מפורסם","0","","0","","no","0","","","no","69f45ce0c5ad4346d8a72763"
"כיתה ח' - בסיס","מפורסם","אלגברה","אחוזים","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f4788229f4ef19cd10c6f4"
"כיתה י - 3 יח""ל - 172","מפורסם","אלגברה","אחוזים","לימוד","מפורסם","0","","0","","no","0","","","no","69f48e4363db1329fbc4b701"
"כיתה יא - 4 יח""ל - 471","מפורסם","שאלון בגרות","אינטגרל","לימוד","מפורסם","5","אינטגרל - בסיס; אינטגרל - בסיס; אינטגרל - בסיס; אינטגרל - בסיס; אינטגרל - בסיס","0","","no","0","ממוצע; אינטגרל - בסיס","beta1-ngH889urHPH7bQcp2W70kOLJOHRgw1.tex","yes","69ae60945c712c6396a6a3bc"
"כיתה ח' - בסיס","מפורסם","אלגברה","בעיות מילוליות","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f4787114e313deba72ecf5"
"כיתה ט - מתקדם","מפורסם","אלגברה","בעיות מילוליות - גיאומטריות","לימוד","מפורסם","0","","0","","no","0","","","no","69ecacccdd4d44f6eb019993"
"כיתה ט - מתקדם","מפורסם","אלגברה","בעיות מילוליות - קנייה ומכירה","לימוד","מפורסם","0","","0","","no","0","","","no","69ecac5cdd4d44f6eb019966"
"כיתה יא - 4 יח""ל - 471","מפורסם","שאלון בגרות","בעיית קיצון - איך מתחילים","לימוד","מפורסם","0","","0","","no","0","","","no","69ae60bf740b082ba31449e6"
"כיתה יב - 4 יח""ל - 472","מפורסם","אלגברה","גדילה מעריכית","תרגול","מפורסם","0","","0","","no","0","","","no","69f58b8a85f66461b5dff549"
"כיתה יב - 4 יח""ל - 472","מפורסם","אלגברה","גדילה מעריכית - בסיס","תרגול","מפורסם","0","","0","","no","0","","","no","69f58b71c9a5ed5e7ed81bfa"
"כיתה יב - 4 יח""ל - 472","מפורסם","אלגברה","גדילה מערכיעית - גרף","תרגול","מפורסם","0","","0","","no","0","","","no","69f58b9eef7ee56187b45fb0"
"כיתה יא - 3 יח""ל - 371","מפורסם","אלגברה","גדילה מערכית","תרגול","מפורסם","0","","1","משולש ישר טריגונמטריהזווית-ltLIg2m9VmacTGVj4HIruQGRGOaPN4.pdf","no","0","","","yes","69f51301cc65cc575bd3df27"
"הכנה לכיתה ז","מפורסם","גאומטריה","גיאומטריה - זוויות","לימוד","מפורסם","10","מהי זווית? (קודקוד ושוקיים) — תרגיל 1; איך מודדים זווית? (מעלות ומד זווית) — תרגיל 2; מתן שמות לזוויות (3 אותיות) — תרגיל 3; זווית ישרה (90°) — תרגיל 4; זווית חדה (פחות מ-90°) — תרגיל 5; זווית קהה (מעל 90° ועד 180°) — תרגיל 6; זווית שטוחה (180°) — תרגיל 7; הערכה ויזואלית של גודל הזווית — תרגיל 8; זוויות על פני השעון — תרגיל 9; אתגר הצורה המורכבת — תרגיל 10","0","","no","0","","","yes","6a731b6b83fa000655cdc31b"
"כיתה יב - 4 יח""ל - 472","מפורסם","אלגברה","גידול מערכי - בסיס","לימוד","מפורסם","0","","0","","no","0","","","no","69f58e1fcfeb753fc5661ab3"
"כיתה יב - 4 יח""ל - 472","מפורסם","אלגברה","גידול מערכי - מציאת q","לימוד","מפורסם","0","","0","","no","0","","","no","69f58e33281ca1d9409c625d"
"כיתה יב - 4 יח""ל - 472","מפורסם","אלגברה","גידול מערכי - מציאת t","לימוד","מפורסם","0","","0","","no","0","","","no","69f58e4a3fdab2477f03bd71"
"כיתה ח' - מתקדם","מפורסם","גיאומטירה","דימיון משולשים","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f47351c4406639ab5ea69a"
"כיתה ח' - מתקדם","מפורסם","גיאומטירה","דלתון","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f473478ef0013c990cc5df"
"הכנה לכיתה ז","מפורסם","שברים","הבנת השבר","לימוד","מפורסם","10","מהו שבר? הכרת מונה ומכנה — תרגיל 1; ייצוג חזותי של שברים — תרגיל 2; שברים על ציר המספרים — תרגיל 3; שברים פשוטים ושברים מדומים — תרגיל 4; המרת שבר מדומה למספר מעורב (ולהפך) — תרגיל 5; שברים שקולים – הכרה ראשונית — תרגיל 6; השוואת שברים – מכנה זהה או מונה זהה — תרגיל 7; שברים בבעיות מילוליות — תרגיל 8; שבר כתוצאה של חילוק — תרגיל 9; סקירה והעמקה — תרגיל 10","0","","no","0","","","yes","6a71efb255c56c9aeb8f6f26"
"כיתה ט - מתקדם","מפורסם","סטטיסטיקה והסתברות","הסתברות","תרגול","מפורסם","0","","1","הסתברות - כיתה ט-LoHLl5vZ0jghUKY2qxctzXV25d52eP.pdf","no","0","","","yes","69ccfc215567d80b5432969a"
"כיתה ט - מתקדם","מפורסם","","הסתברות","תרגול","טיוטה","0","","0","","no","0","","","no","69e8dbb8bcc1a944afba7302"
